우편번호,위도,경도,평균_크기,평균_변환_전세(만원),지역구분코드,오피스텔비율,총거래수량,월세_비율(%),신축_비율(%),버스정류장,미술관 & 전시관,자전거대여소,헬스클럽,성당,병원,공연장,공원,영화관,지하철역,동물병원,뷰티케어,코인노래방,도서관,교회,대형마트,공공체육시설,카페 & 디저트,경찰서,생활용품점,술집,쇼핑센터,슈퍼마켓,약국,반찬가게 & 밀키트,편의점,은행,코인세탁방,요가,크로스핏,ATM,음식점,우체국,PC방,필라테스,주민센터,절
3987,37.56073877,126.9194892,29.73530612,19568.22157,0,0.0,49,73.46938776,55.10204082,31,10,6,14,0,29,4,0,0,0,3,1,1,0,18,0,0,289,1,0,50,0,8,5,1,33,3,6,5,0,18,175,0,3,7,1,3
3988,37.56190032,126.9208879,22.5872093,16552.71096,0,0.023255814,43,81.39534884,39.53488372,27,15,3,11,0,19,3,1,0,0,2,1,3,0,14,0,0,482,1,0,73,0,9,4,1,31,2,4,5,0,15,269,0,2,8,1,2
3990,37.560562,126.9219295,25.90785714,15664.62585,0,0.0,21,66.66666667,0.0,33,13,10,22,0,70,6,0,4,1,2,2,4,0,11,0,0,492,1,1,88,0,10,10,1,35,5,7,6,0,20,277,0,3,11,1,3
3991,37.5592275,126.9199798,27.33521739,18883.85093,0,0.0,46,67.39130435,32.60869565,36,12,9,22,0,93,6,0,4,1,3,4,3,0,13,0,0,296,1,0,71,0,10,14,1,36,10,7,8,0,26,173,0,13,14,0,3
3992,37.55741298,126.9207357,26.41,20008.92857,0,0.0,8,100.0,0.0,40,14,8,25,0,101,9,0,5,1,2,4,8,0,13,0,0,290,1,2,132,0,14,14,2,38,11,6,9,0,29,199,0,16,16,0,4
3993,37.55896793,126.9223519,26.25294118,13818.48739,0,0.0,17,94.11764706,5.882352941,33,18,10,22,0,99,6,0,5,3,2,5,8,0,14,0,0,432,1,2,145,1,13,15,1,39,11,5,8,0,29,274,0,15,16,0,3
3994,37.55882452,126.924344,32.83571429,18343.87755,0,0.857142857,28,71.42857143,0.0,22,21,9,19,0,99,8,0,5,3,2,6,9,0,12,0,0,496,1,2,157,1,14,17,1,43,11,7,7,0,31,318,1,18,18,0,2
3995,37.55669489,126.9222926,34.655,21300.0,0,1.0,10,60.0,0.0,34,28,7,28,1,100,11,0,5,3,2,6,10,0,10,0,0,321,1,3,185,1,13,15,2,46,12,3,9,1,34,209,0,20,16,0,3
3996,37.55723218,126.9102758,28.38513889,18762.53571,0,0.083333333,72,62.5,33.33333333,30,7,3,15,1,82,2,0,0,1,4,2,2,0,17,0,0,206,0,0,79,0,18,14,6,34,4,4,6,1,16,277,0,5,5,2,0
3997,37.55751919,126.912309,33.39014184,22981.72239,0,0.0,141,60.28368794,43.97163121,38,10,3,19,1,61,2,0,0,1,4,1,2,0,18,0,0,146,0,0,66,0,14,8,1,33,4,4,6,0,15,212,0,4,6,1,2
3998,37.55823679,126.9142201,35.88423077,21976.64011,0,0.0,52,53.84615385,25.0,42,10,3,16,1,53,2,0,0,1,5,1,2,0,17,0,0,109,0,0,32,0,9,8,1,30,4,3,6,0,15,133,0,2,5,1,2
3999,37.55882822,126.9161235,36.513125,21593.30357,0,0.0625,16,68.75,43.75,39,15,3,14,0,15,3,0,0,0,2,0,0,0,15,0,0,153,0,0,15,0,10,2,2,32,3,4,3,0,15,125,0,2,3,1,2
4000,37.5577287,126.9176915,37.00285714,26425.17007,0,0.0,21,76.19047619,38.0952381,45,18,4,21,0,50,6,0,2,0,2,2,0,0,18,0,0,192,0,0,36,0,8,5,2,33,9,6,8,0,23,139,0,5,7,1,3
4001,37.55622588,126.9186153,30.78,20707.14286,0,0.0,10,60.0,40.0,46,22,7,27,0,90,12,0,2,1,2,3,3,0,16,0,0,215,0,1,87,0,12,10,2,38,15,6,9,0,26,143,0,17,11,1,3
4002,37.55636753,126.9161693,26.04797872,16038.81459,0,0.223404255,94,77.65957447,31.91489362,46,17,8,29,0,42,6,0,0,0,3,1,0,0,16,0,0,145,0,0,40,0,7,5,1,38,10,5,6,0,21,111,0,2,9,1,3
